node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
12218231,10113472,officer_of,shareholder of,,19-NOV-2009,,Panama Papers
12043413,10113472,officer_of,shareholder of,,15-JUN-2004,19-NOV-2009,Panama Papers
12174590,10109975,officer_of,shareholder of,,13-FEB-2008,,Panama Papers
12202817,10109975,officer_of,shareholder of,,16-NOV-2004,13-FEB-2008,Panama Papers
12202817,10109975,officer_of,shareholder of,,15-JUN-2004,16-NOV-2004,Panama Papers
12043203,10107397,officer_of,shareholder of,,15-JUN-2004,,Panama Papers
12043176,10204975,officer_of,shareholder of,,15-JUN-2004,,Panama Papers
12043064,10103140,officer_of,shareholder of,,15-JUN-2004,07-DEC-2009,Panama Papers
12117605,10103140,officer_of,shareholder of,,07-DEC-2009,,Panama Papers
12009119,10110228,officer_of,shareholder of,,22-OCT-2004,,Panama Papers
12043414,10114241,officer_of,shareholder of,,16-JUN-2004,,Panama Papers
12043415,10114241,officer_of,shareholder of,,16-JUN-2004,,Panama Papers
12122822,10105046,officer_of,shareholder of,,16-JUN-2004,,Panama Papers
12159168,10103145,officer_of,shareholder of,,27-JUN-2014,,Panama Papers
12177549,10103145,officer_of,shareholder of,,27-NOV-2006,27-JUN-2014,Panama Papers
12043115,10103145,officer_of,shareholder of,,16-JUN-2004,27-NOV-2006,Panama Papers
12043103,10106737,officer_of,shareholder of,,27-JUL-2004,07-JUL-2010,Panama Papers
12133182,10106737,officer_of,shareholder of,,27-JUL-2004,,Panama Papers
12133248,10106737,officer_of,shareholder of,,07-JUL-2010,,Panama Papers
12043039,10110236,officer_of,shareholder of,,16-JUN-2004,09-NOV-2009,Panama Papers
12043040,10110236,officer_of,shareholder of,,16-JUN-2004,09-NOV-2009,Panama Papers
12146170,10110236,officer_of,shareholder of,,09-NOV-2009,,Panama Papers
12043477,10106839,officer_of,shareholder of,,15-JUN-2006,,Panama Papers
12115688,10106839,officer_of,shareholder of,,05-AUG-2004,15-JUN-2006,Panama Papers
12103457,10106839,officer_of,shareholder of,,05-AUG-2004,15-JUN-2006,Panama Papers
12043478,10106839,officer_of,shareholder of,,15-JUN-2006,,Panama Papers
12133616,10105366,officer_of,shareholder of,,16-SEP-2009,,Panama Papers
12224900,10110158,officer_of,shareholder of,,08-JUN-2011,,Panama Papers
