node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
11013145,10015182,intermediary_of,intermediary of,,,,Panama Papers
11012118,10015230,intermediary_of,intermediary of,,,,Panama Papers
11012118,10015231,intermediary_of,intermediary of,,,,Panama Papers
11012037,10015236,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015311,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015312,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015348,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015349,intermediary_of,intermediary of,,,,Panama Papers
11011109,10015643,intermediary_of,intermediary of,,,,Panama Papers
11010460,10015381,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015384,intermediary_of,intermediary of,,,,Panama Papers
11013327,10015183,intermediary_of,intermediary of,,,,Panama Papers
11012212,10015841,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015385,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015407,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015408,intermediary_of,intermediary of,,,,Panama Papers
11009214,10015415,intermediary_of,intermediary of,,,,Panama Papers
11009214,10015416,intermediary_of,intermediary of,,,,Panama Papers
11002723,10015266,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015419,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015420,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015426,intermediary_of,intermediary of,,,,Panama Papers
11011863,10015237,intermediary_of,intermediary of,,,,Panama Papers
11006103,10015427,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015430,intermediary_of,intermediary of,,,,Panama Papers
11007902,10015242,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015431,intermediary_of,intermediary of,,,,Panama Papers
11011863,10015243,intermediary_of,intermediary of,,,,Panama Papers
11005837,10015248,intermediary_of,intermediary of,,,,Panama Papers
11004014,10015267,intermediary_of,intermediary of,,,,Panama Papers
11011863,10015249,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015438,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015439,intermediary_of,intermediary of,,,,Panama Papers
11011539,10015442,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015443,intermediary_of,intermediary of,,,,Panama Papers
11009552,10016131,intermediary_of,intermediary of,,,,Panama Papers
11011863,10015254,intermediary_of,intermediary of,,,,Panama Papers
11004014,10015272,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015448,intermediary_of,intermediary of,,,,Panama Papers
11012037,10015255,intermediary_of,intermediary of,,,,Panama Papers
11012037,10015258,intermediary_of,intermediary of,,,,Panama Papers
11000382,10015644,intermediary_of,intermediary of,,,,Panama Papers
11003879,10015259,intermediary_of,intermediary of,,,,Panama Papers
11006940,10016132,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015449,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015454,intermediary_of,intermediary of,,,,Panama Papers
11011863,10015653,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015455,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015456,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015457,intermediary_of,intermediary of,,,,Panama Papers
11011609,10016152,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015460,intermediary_of,intermediary of,,,,Panama Papers
11003879,10015654,intermediary_of,intermediary of,,,,Panama Papers
11001141,10015461,intermediary_of,intermediary of,,,,Panama Papers
11005942,10016748,intermediary_of,intermediary of,,,,Panama Papers
11009351,10016911,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015494,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015497,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015498,intermediary_of,intermediary of,,,,Panama Papers
11011863,10015655,intermediary_of,intermediary of,,,,Panama Papers
11005758,10015273,intermediary_of,intermediary of,,,,Panama Papers
11011863,10015656,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015501,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015502,intermediary_of,intermediary of,,,,Panama Papers
11006928,10015505,intermediary_of,intermediary of,,,,Panama Papers
11005942,10017313,intermediary_of,intermediary of,,,,Panama Papers
11011192,10015613,intermediary_of,intermediary of,,,,Panama Papers
11011192,10015614,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015777,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015780,intermediary_of,intermediary of,,,,Panama Papers
11011192,10015615,intermediary_of,intermediary of,,,,Panama Papers
11004014,10015624,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015781,intermediary_of,intermediary of,,,,Panama Papers
11004014,10015627,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015782,intermediary_of,intermediary of,,,,Panama Papers
11005758,10015628,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015783,intermediary_of,intermediary of,,,,Panama Papers
11011192,10015616,intermediary_of,intermediary of,,,,Panama Papers
11000254,10015633,intermediary_of,intermediary of,,,,Panama Papers
11006126,10015634,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015788,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015849,intermediary_of,intermediary of,,,,Panama Papers
11010137,10015619,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015850,intermediary_of,intermediary of,,,,Panama Papers
11003879,10015659,intermediary_of,intermediary of,,,,Panama Papers
11004729,10015620,intermediary_of,intermediary of,,,,Panama Papers
11011192,10016041,intermediary_of,intermediary of,,,,Panama Papers
11012421,10015855,intermediary_of,intermediary of,,,,Panama Papers
11012118,10015660,intermediary_of,intermediary of,,,,Panama Papers
11008448,10015641,intermediary_of,intermediary of,,,,Panama Papers
11011898,10015649,intermediary_of,intermediary of,,,,Panama Papers
11012037,10015665,intermediary_of,intermediary of,,,,Panama Papers
11000233,10016153,intermediary_of,intermediary of,,,,Panama Papers
11000805,10017314,intermediary_of,intermediary of,,,,Panama Papers
11005486,10015642,intermediary_of,intermediary of,,,,Panama Papers
11000138,10016230,intermediary_of,intermediary of,,,,Panama Papers
11012037,10015666,intermediary_of,intermediary of,,,,Panama Papers
11011192,10016048,intermediary_of,intermediary of,,,,Panama Papers
11006928,10015856,intermediary_of,intermediary of,,,,Panama Papers
11014010,10015671,intermediary_of,intermediary of,,,,Panama Papers
11011863,10015672,intermediary_of,intermediary of,,,,Panama Papers
11012118,10015675,intermediary_of,intermediary of,,,,Panama Papers
11009096,10015864,intermediary_of,intermediary of,,,,Panama Papers
11000382,10015650,intermediary_of,intermediary of,,,,Panama Papers
11012037,10015676,intermediary_of,intermediary of,,,,Panama Papers
11012037,10015679,intermediary_of,intermediary of,,,,Panama Papers
11000515,10015651,intermediary_of,intermediary of,,,,Panama Papers
11010460,10015865,intermediary_of,intermediary of,,,,Panama Papers
11000382,10015652,intermediary_of,intermediary of,,,,Panama Papers
11012118,10015680,intermediary_of,intermediary of,,,,Panama Papers
11012118,10015877,intermediary_of,intermediary of,,,,Panama Papers
11012118,10015882,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015874,intermediary_of,intermediary of,,,,Panama Papers
11011526,10015842,intermediary_of,intermediary of,,,,Panama Papers
11012974,10015845,intermediary_of,intermediary of,,,,Panama Papers
11000954,10017315,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015970,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015976,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015977,intermediary_of,intermediary of,,,,Panama Papers
11011192,10016049,intermediary_of,intermediary of,,,,Panama Papers
11009214,10015982,intermediary_of,intermediary of,,,,Panama Papers
11004086,10016054,intermediary_of,intermediary of,,,,Panama Papers
11003879,10015883,intermediary_of,intermediary of,,,,Panama Papers
11001746,10015983,intermediary_of,intermediary of,,,,Panama Papers
11011539,10015988,intermediary_of,intermediary of,,,,Panama Papers
11001746,10016075,intermediary_of,intermediary of,,,,Panama Papers
11001746,10016092,intermediary_of,intermediary of,,,,Panama Papers
11002072,10016404,intermediary_of,intermediary of,,,,Panama Papers
11011863,10016421,intermediary_of,intermediary of,,,,Panama Papers
11001746,10016529,intermediary_of,intermediary of,,,,Panama Papers
11001746,10016530,intermediary_of,intermediary of,,,,Panama Papers
11009214,10016531,intermediary_of,intermediary of,,,,Panama Papers
11006103,10016532,intermediary_of,intermediary of,,,,Panama Papers
11006103,10016533,intermediary_of,intermediary of,,,,Panama Papers
11006103,10016536,intermediary_of,intermediary of,,,,Panama Papers
11009214,10016537,intermediary_of,intermediary of,,,,Panama Papers
11001746,10016538,intermediary_of,intermediary of,,,,Panama Papers
11013508,10016422,intermediary_of,intermediary of,,,,Panama Papers
11011863,10016425,intermediary_of,intermediary of,,,,Panama Papers
11011863,10016426,intermediary_of,intermediary of,,,,Panama Papers
11011863,10016429,intermediary_of,intermediary of,,,,Panama Papers
11012118,10016430,intermediary_of,intermediary of,,,,Panama Papers
11011863,10016435,intermediary_of,intermediary of,,,,Panama Papers
11004169,10016475,intermediary_of,intermediary of,,,,Panama Papers
11011863,10016436,intermediary_of,intermediary of,,,,Panama Papers
11000382,10016391,intermediary_of,intermediary of,,,,Panama Papers
11000382,10016431,intermediary_of,intermediary of,,,,Panama Papers
11013977,10016484,intermediary_of,intermediary of,,,,Panama Papers
11000382,10016432,intermediary_of,intermediary of,,,,Panama Papers
11003750,10016407,intermediary_of,intermediary of,,,,Panama Papers
11007188,10016541,intermediary_of,intermediary of,,,,Panama Papers
11001746,10016542,intermediary_of,intermediary of,,,,Panama Papers
11007224,10016485,intermediary_of,intermediary of,,,,Panama Papers
11012360,10016408,intermediary_of,intermediary of,,,,Panama Papers
11009412,10016453,intermediary_of,intermediary of,,,,Panama Papers
11006790,10016498,intermediary_of,intermediary of,,,,Panama Papers
11000467,10016499,intermediary_of,intermediary of,,,,Panama Papers
11000266,10016451,intermediary_of,intermediary of,,,,Panama Papers
11007859,10016452,intermediary_of,intermediary of,,,,Panama Papers
11013111,10017334,intermediary_of,intermediary of,,,,Panama Papers
11004196,10016455,intermediary_of,intermediary of,,,,Panama Papers
11004196,10016456,intermediary_of,intermediary of,,,,Panama Papers
11009351,10016437,intermediary_of,intermediary of,,,,Panama Papers
11003262,10016752,intermediary_of,intermediary of,,,,Panama Papers
11000382,10016438,intermediary_of,intermediary of,,,,Panama Papers
12137067,10152787,officer_of,shareholder of,,07-MAY-2012,,Panama Papers
11012037,10016454,intermediary_of,intermediary of,,,,Panama Papers
11008381,10016458,intermediary_of,intermediary of,,,,Panama Papers
11008027,10016443,intermediary_of,intermediary of,,,,Panama Papers
11009351,10017349,intermediary_of,intermediary of,,,,Panama Papers
11011453,10016557,intermediary_of,intermediary of,,,,Panama Papers
11001746,10016543,intermediary_of,intermediary of,,,,Panama Papers
11002044,10016459,intermediary_of,intermediary of,,,,Panama Papers
11003360,10016461,intermediary_of,intermediary of,,,,Panama Papers
11001746,10016544,intermediary_of,intermediary of,,,,Panama Papers
11004646,10016547,intermediary_of,intermediary of,,,,Panama Papers
11000382,10016444,intermediary_of,intermediary of,,,,Panama Papers
11006106,10016488,intermediary_of,intermediary of,,,,Panama Papers
11006126,10016806,intermediary_of,intermediary of,,,,Panama Papers
11006126,10016818,intermediary_of,intermediary of,,,,Panama Papers
11012037,10016460,intermediary_of,intermediary of,,,,Panama Papers
11008381,10016466,intermediary_of,intermediary of,,,,Panama Papers
11000337,10016763,intermediary_of,intermediary of,,,,Panama Papers
11011457,10016462,intermediary_of,intermediary of,,,,Panama Papers
11001504,10016489,intermediary_of,intermediary of,,,,Panama Papers
11004196,10016463,intermediary_of,intermediary of,,,,Panama Papers
