node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
11000376,10125499,intermediary_of,intermediary of,,,,Panama Papers
11003215,10125475,intermediary_of,intermediary of,,,,Panama Papers
11002662,10125566,intermediary_of,intermediary of,,,,Panama Papers
11000799,10125486,intermediary_of,intermediary of,,,,Panama Papers
11010041,10125508,intermediary_of,intermediary of,,,,Panama Papers
11010502,10125516,intermediary_of,intermediary of,,,,Panama Papers
11002323,10125506,intermediary_of,intermediary of,,,,Panama Papers
11006871,10125538,intermediary_of,intermediary of,,,,Panama Papers
11001727,10125531,intermediary_of,intermediary of,,,,Panama Papers
11010979,10125567,intermediary_of,intermediary of,,,,Panama Papers
11000789,10125509,intermediary_of,intermediary of,,,,Panama Papers
11004899,10125539,intermediary_of,intermediary of,,,,Panama Papers
11011597,10125568,intermediary_of,intermediary of,,,,Panama Papers
11008930,10125505,intermediary_of,intermediary of,,,,Panama Papers
11009037,10125487,intermediary_of,intermediary of,,,,Panama Papers
11011405,10125507,intermediary_of,intermediary of,,,,Panama Papers
11007941,10125569,intermediary_of,intermediary of,,,,Panama Papers
11010457,10125542,intermediary_of,intermediary of,,,,Panama Papers
11010643,10125494,intermediary_of,intermediary of,,,,Panama Papers
11000044,10125495,intermediary_of,intermediary of,,,,Panama Papers
11005683,10125572,intermediary_of,intermediary of,,,,Panama Papers
11010457,10125543,intermediary_of,intermediary of,,,,Panama Papers
11004089,10125578,intermediary_of,intermediary of,,,,Panama Papers
11011490,10126504,intermediary_of,intermediary of,,,,Panama Papers
11008027,10125573,intermediary_of,intermediary of,,,,Panama Papers
11000489,10125532,intermediary_of,intermediary of,,,,Panama Papers
11004648,10125533,intermediary_of,intermediary of,,,,Panama Papers
11004036,10125512,intermediary_of,intermediary of,,,,Panama Papers
11000489,10125536,intermediary_of,intermediary of,,,,Panama Papers
11008027,10125576,intermediary_of,intermediary of,,,,Panama Papers
11008027,10125577,intermediary_of,intermediary of,,,,Panama Papers
11008027,10125584,intermediary_of,intermediary of,,,,Panama Papers
11004154,10126892,intermediary_of,intermediary of,,,,Panama Papers
11000382,10125585,intermediary_of,intermediary of,,,,Panama Papers
11000489,10125537,intermediary_of,intermediary of,,,,Panama Papers
11004394,10126899,intermediary_of,intermediary of,,,,Panama Papers
11004428,10126900,intermediary_of,intermediary of,,,,Panama Papers
11004282,10125546,intermediary_of,intermediary of,,,,Panama Papers
11010732,10125547,intermediary_of,intermediary of,,,,Panama Papers
11003244,10125610,intermediary_of,intermediary of,,,,Panama Papers
11010028,10125582,intermediary_of,intermediary of,,,,Panama Papers
11010643,10125500,intermediary_of,intermediary of,,,,Panama Papers
11001487,10125501,intermediary_of,intermediary of,,,,Panama Papers
11008027,10125590,intermediary_of,intermediary of,,,,Panama Papers
11004437,10125513,intermediary_of,intermediary of,,,,Panama Papers
11000376,10126920,intermediary_of,intermediary of,,,,Panama Papers
11000266,10126885,intermediary_of,intermediary of,,,,Panama Papers
11012191,10126617,intermediary_of,intermediary of,,,,Panama Papers
11011863,10126903,intermediary_of,intermediary of,,,,Panama Papers
11012665,10126906,intermediary_of,intermediary of,,,,Panama Papers
11002681,10126913,intermediary_of,intermediary of,,,,Panama Papers
11004977,10126914,intermediary_of,intermediary of,,,,Panama Papers
11004098,10125725,intermediary_of,intermediary of,,,,Panama Papers
11000044,10126966,intermediary_of,intermediary of,,,,Panama Papers
11001727,10127008,intermediary_of,intermediary of,,,,Panama Papers
11005837,10126904,intermediary_of,intermediary of,,,,Panama Papers
11014018,10126921,intermediary_of,intermediary of,,,,Panama Papers
11008027,10125591,intermediary_of,intermediary of,,,,Panama Papers
11001877,10126618,intermediary_of,intermediary of,,,,Panama Papers
11002681,10126923,intermediary_of,intermediary of,,,,Panama Papers
11002681,10126971,intermediary_of,intermediary of,,,,Panama Papers
11008027,10124661,intermediary_of,intermediary of,,,,Panama Papers
11008027,10124662,intermediary_of,intermediary of,,,,Panama Papers
11003326,10124680,intermediary_of,intermediary of,,,,Panama Papers
11008027,10124667,intermediary_of,intermediary of,,,,Panama Papers
11008027,10124668,intermediary_of,intermediary of,,,,Panama Papers
11008027,10124671,intermediary_of,intermediary of,,,,Panama Papers
11007879,10124707,intermediary_of,intermediary of,,,,Panama Papers
11008711,10124672,intermediary_of,intermediary of,,,,Panama Papers
11009289,10124677,intermediary_of,intermediary of,,,,Panama Papers
11009289,10124678,intermediary_of,intermediary of,,,,Panama Papers
11011731,10125570,intermediary_of,intermediary of,,,,Panama Papers
11009289,10124695,intermediary_of,intermediary of,,,,Panama Papers
11011457,10124890,intermediary_of,intermediary of,,,,Panama Papers
11011597,10124860,intermediary_of,intermediary of,,,,Panama Papers
11000489,10124865,intermediary_of,intermediary of,,,,Panama Papers
