node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
12191559,10183005,officer_of,shareholder of,,13-SEP-2000,,Panama Papers
12106346,10183005,officer_of,shareholder of,,02-JAN-2008,,Panama Papers
12012970,10183606,officer_of,shareholder of,,18-JUN-2001,,Panama Papers
12012971,10183606,officer_of,shareholder of,,18-JUN-2001,,Panama Papers
12012931,10182218,officer_of,shareholder of,,21-JUL-2000,28-DEC-2001,Panama Papers
12012932,10182218,officer_of,shareholder of,,21-JUL-2000,28-DEC-2001,Panama Papers
12174647,10182218,officer_of,shareholder of,,28-DEC-2001,27-APR-2010,Panama Papers
12012933,10182291,officer_of,shareholder of,,12-JUL-2000,28-JUN-2001,Panama Papers
12152715,10182291,officer_of,shareholder of,,28-JUN-2001,,Panama Papers
12158728,10182291,officer_of,shareholder of,,28-JUN-2001,,Panama Papers
12012934,10182291,officer_of,shareholder of,,12-JUL-2000,28-JUN-2001,Panama Papers
12012867,10180725,officer_of,shareholder of,,01-AUG-2000,28-JUN-2001,Panama Papers
12144018,10180725,officer_of,shareholder of,,28-JUN-2001,,Panama Papers
12181181,10180725,officer_of,shareholder of,,28-JUN-2001,,Panama Papers
12012868,10180725,officer_of,shareholder of,,01-AUG-2000,28-JUN-2001,Panama Papers
12162684,10180163,officer_of,shareholder of,,23-MAY-2001,,Panama Papers
12162685,10180163,officer_of,shareholder of,,23-MAY-2001,,Panama Papers
12012883,10180163,officer_of,shareholder of,,21-AUG-2000,23-MAY-2001,Panama Papers
12182583,10183944,officer_of,shareholder of,,03-AUG-2000,06-JAN-2003,Panama Papers
12182584,10183944,officer_of,shareholder of,,03-AUG-2000,06-JAN-2003,Panama Papers
12196258,10184767,officer_of,shareholder of,,22-DEC-2003,,Panama Papers
12196258,10184767,officer_of,shareholder of,,30-DEC-2003,,Panama Papers
12196259,10184767,officer_of,shareholder of,,03-AUG-2003,22-DEC-2003,Panama Papers
12222305,10180775,officer_of,shareholder of,,18-AUG-2000,,Panama Papers
12222350,10180775,officer_of,shareholder of,,18-AUG-2000,,Panama Papers
12000643,10185801,officer_of,shareholder of,,22-AUG-2000,,Panama Papers
