node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
12080439,10113118,officer_of,shareholder of,,19-NOV-2009,,Panama Papers
12080440,10113024,officer_of,shareholder of,,19-NOV-2009,11-APR-2014,Panama Papers
12080441,10113024,officer_of,shareholder of,,19-NOV-2009,11-APR-2014,Panama Papers
12080442,10113024,officer_of,shareholder of,,19-NOV-2009,11-APR-2014,Panama Papers
12080443,10113024,officer_of,shareholder of,,11-APR-2014,,Panama Papers
12080444,10113024,officer_of,shareholder of,,19-NOV-2009,11-APR-2014,Panama Papers
12081031,10111898,officer_of,shareholder of,,19-NOV-2009,,Panama Papers
12081032,10111898,officer_of,shareholder of,,19-NOV-2009,,Panama Papers
12081033,10111898,officer_of,shareholder of,,19-NOV-2009,,Panama Papers
12081034,10111898,officer_of,shareholder of,,19-NOV-2009,,Panama Papers
12081414,10109031,officer_of,shareholder of,,25-NOV-2009,,Panama Papers
12080185,10205936,officer_of,shareholder of,,24-NOV-2009,,Panama Papers
12219351,10111228,officer_of,shareholder of,,23-NOV-2015,,Panama Papers
12081415,10111228,officer_of,shareholder of,,24-NOV-2009,23-NOV-2015,Panama Papers
12080955,10111828,officer_of,shareholder of,,04-JAN-2011,,Panama Papers
12081119,10111828,officer_of,shareholder of,,03-DEC-2009,04-JAN-2011,Panama Papers
12081120,10111828,officer_of,shareholder of,,04-JAN-2011,,Panama Papers
12081121,10111828,officer_of,shareholder of,,03-DEC-2009,04-JAN-2011,Panama Papers
12081122,10111828,officer_of,shareholder of,,04-JAN-2011,,Panama Papers
12081035,10108090,officer_of,shareholder of,,06-JAN-2010,,Panama Papers
12081036,10108090,officer_of,shareholder of,,06-JAN-2010,,Panama Papers
12081373,10109052,officer_of,shareholder of,,09-DEC-2009,,Panama Papers
12081374,10109052,officer_of,shareholder of,,09-DEC-2009,,Panama Papers
12081375,10109052,officer_of,shareholder of,,09-DEC-2009,,Panama Papers
12081376,10109052,officer_of,shareholder of,,09-DEC-2009,,Panama Papers
12081377,10109714,officer_of,shareholder of,,18-DEC-2009,,Panama Papers
12080513,10106683,officer_of,shareholder of,,03-DEC-2009,,Panama Papers
12080514,10106683,officer_of,shareholder of,,03-DEC-2009,,Panama Papers
12080515,10106683,officer_of,shareholder of,,03-DEC-2009,,Panama Papers
12080516,10106683,officer_of,shareholder of,,03-DEC-2009,,Panama Papers
12080186,10201408,officer_of,shareholder of,,12-DEC-2009,,Panama Papers
12080187,10201408,officer_of,shareholder of,,12-DEC-2009,,Panama Papers
12080188,10201408,officer_of,shareholder of,,12-DEC-2009,,Panama Papers
12080214,10201408,officer_of,shareholder of,,12-DEC-2009,,Panama Papers
12080215,10201455,officer_of,shareholder of,,14-DEC-2009,,Panama Papers
12080216,10201455,officer_of,shareholder of,,14-DEC-2009,,Panama Papers
12132312,10108529,officer_of,shareholder of,,10-DEC-2009,,Panama Papers
12080517,10108459,officer_of,shareholder of,,09-DEC-2009,,Panama Papers
12080153,10119459,officer_of,shareholder of,,09-DEC-2009,,Panama Papers
12080217,10201466,officer_of,shareholder of,,09-DEC-2009,,Panama Papers
12081123,10118343,officer_of,shareholder of,,11-DEC-2009,,Panama Papers
12080218,10201428,officer_of,shareholder of,,11-DEC-2009,,Panama Papers
12081416,10111460,officer_of,shareholder of,,09-DEC-2009,,Panama Papers
12081378,10108339,officer_of,shareholder of,,11-DEC-2009,,Panama Papers
12101874,10115040,officer_of,shareholder of,,25-NOV-2009,,Panama Papers
12170250,10115040,officer_of,shareholder of,,09-MAR-2003,25-NOV-2009,Panama Papers
12081417,10115040,officer_of,shareholder of,,27-SEP-2001,09-MAR-2003,Panama Papers
12171817,10115040,officer_of,shareholder of,,25-NOV-2009,,Panama Papers
12081435,10110856,officer_of,shareholder of,,,,Panama Papers
12081436,10110856,officer_of,shareholder of,,,,Panama Papers
12081437,10110856,officer_of,shareholder of,,,,Panama Papers
12080154,10115501,officer_of,shareholder of,,23-DEC-2009,08-NOV-2011,Panama Papers
12007171,10115501,officer_of,shareholder of,,08-NOV-2011,,Panama Papers
12080155,10115501,officer_of,shareholder of,,23-DEC-2009,08-NOV-2011,Panama Papers
12080156,10115501,officer_of,shareholder of,,23-DEC-2009,08-NOV-2011,Panama Papers
12080157,10115501,officer_of,shareholder of,,23-DEC-2009,08-NOV-2011,Panama Papers
12080158,10117225,officer_of,shareholder of,,15-JAN-2010,,Panama Papers
12066565,10109288,officer_of,shareholder of,,29-DEC-2009,,Panama Papers
12080537,10202447,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080538,10202447,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080539,10203283,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080540,10203283,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080541,10203283,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081072,10203283,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080159,10115270,officer_of,shareholder of,,17-FEB-2010,09-APR-2010,Panama Papers
12080615,10115270,officer_of,shareholder of,,09-APR-2010,,Panama Papers
12081073,10202478,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081074,10202478,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081075,10202478,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081076,10202478,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081077,10202478,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081078,10202478,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081079,10202478,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081080,10202478,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081081,10202478,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081082,10202478,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081438,10111905,officer_of,shareholder of,,05-JAN-2010,29-AUG-2012,Panama Papers
12081439,10111905,officer_of,shareholder of,,05-JAN-2010,29-AUG-2012,Panama Papers
12196266,10111905,officer_of,shareholder of,,29-AUG-2012,,Panama Papers
12080616,10115695,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080617,10115695,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081124,10116896,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081440,10113075,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081037,10114530,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12176125,10110117,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081441,10115546,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081442,10115546,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081443,10115546,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081444,10115546,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081445,10115546,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081446,10115546,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081447,10115546,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081448,10115546,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081449,10115546,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12081490,10115546,officer_of,shareholder of,,04-JAN-2010,,Panama Papers
12080445,10117491,officer_of,shareholder of,,04-JAN-2010,26-OCT-2015,Panama Papers
12165056,10117491,officer_of,shareholder of,,26-OCT-2015,,Panama Papers
12080618,10117889,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080619,10117889,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080620,10117889,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080621,10117889,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080622,10117889,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080446,10117965,officer_of,shareholder of,,10-SEP-2015,19-OCT-2015,Panama Papers
12080447,10117965,officer_of,shareholder of,,10-SEP-2015,19-OCT-2015,Panama Papers
12080448,10117965,officer_of,shareholder of,,05-JAN-2010,10-SEP-2015,Panama Papers
12080449,10117965,officer_of,shareholder of,,05-JAN-2010,10-SEP-2015,Panama Papers
12080458,10117965,officer_of,shareholder of,,05-JAN-2010,10-SEP-2015,Panama Papers
12080459,10117965,officer_of,shareholder of,,05-JAN-2010,10-SEP-2015,Panama Papers
12080446,10117965,officer_of,shareholder of,,19-OCT-2015,,Panama Papers
12080447,10117965,officer_of,shareholder of,,19-OCT-2015,,Panama Papers
12080685,10117407,officer_of,shareholder of,,06-JAN-2010,,Panama Papers
12080686,10117407,officer_of,shareholder of,,06-JAN-2010,,Panama Papers
12080687,10117407,officer_of,shareholder of,,06-JAN-2010,,Panama Papers
12080688,10117407,officer_of,shareholder of,,06-JAN-2010,,Panama Papers
12081083,10202751,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081084,10202751,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081085,10202751,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081380,10202751,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080518,10117682,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080519,10117682,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081160,10117682,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081161,10117682,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080460,10118818,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080461,10118818,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080462,10118818,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080463,10118818,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081491,10119473,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081492,10119473,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081493,10119473,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12081494,10119473,officer_of,shareholder of,,05-JAN-2010,,Panama Papers
12080689,10118375,officer_of,shareholder of,,05-JAN-2010,20-SEP-2013,Panama Papers
12080690,10118375,officer_of,shareholder of,,20-SEP-2013,,Panama Papers
12080691,10118375,officer_of,shareholder of,,20-SEP-2013,,Panama Papers
12080692,10118375,officer_of,shareholder of,,05-JAN-2010,20-SEP-2013,Panama Papers
12080693,10118375,officer_of,shareholder of,,05-JAN-2010,20-SEP-2013,Panama Papers
12080694,10118375,officer_of,shareholder of,,20-SEP-2013,,Panama Papers
12080695,10118375,officer_of,shareholder of,,20-SEP-2013,,Panama Papers
12144247,10115036,officer_of,shareholder of,,,,Panama Papers
12081495,10115253,officer_of,shareholder of,,07-JAN-2010,,Panama Papers
12081496,10115253,officer_of,shareholder of,,07-JAN-2010,,Panama Papers
12081497,10115253,officer_of,shareholder of,,07-JAN-2010,,Panama Papers
12081498,10115253,officer_of,shareholder of,,07-JAN-2010,,Panama Papers
12123249,10115771,officer_of,shareholder of,,11-JAN-2010,,Panama Papers
12081381,10203236,officer_of,shareholder of,,22-JAN-2010,,Panama Papers
12081499,10116811,officer_of,shareholder of,,27-JAN-2010,,Panama Papers
12007182,10116097,officer_of,shareholder of,,17-OCT-2011,,Panama Papers
12007183,10116097,officer_of,shareholder of,,,17-OCT-2011,Panama Papers
12007182,10116097,officer_of,shareholder of,,,17-OCT-2011,Panama Papers
12081125,10122178,officer_of,shareholder of,,09-FEB-2010,,Panama Papers
12081126,10122178,officer_of,shareholder of,,09-FEB-2010,,Panama Papers
12080975,10118322,officer_of,shareholder of,,04-FEB-2010,,Panama Papers
12080976,10119776,officer_of,shareholder of,,09-FEB-2010,,Panama Papers
12080711,10063142,officer_of,shareholder of,,11-OCT-2008,,Panama Papers
12080712,10063142,officer_of,shareholder of,,11-OCT-2008,,Panama Papers
12080713,10063142,officer_of,shareholder of,,11-OCT-2008,,Panama Papers
12080714,10063142,officer_of,shareholder of,,11-OCT-2008,,Panama Papers
12080464,10062129,officer_of,shareholder of,,14-OCT-2008,,Panama Papers
12080465,10062129,officer_of,shareholder of,,14-OCT-2008,,Panama Papers
12080466,10062129,officer_of,shareholder of,,14-OCT-2008,,Panama Papers
12080467,10062129,officer_of,shareholder of,,14-OCT-2008,,Panama Papers
12080737,10062452,officer_of,shareholder of,,17-JUN-2011,,Panama Papers
12081127,10064900,officer_of,shareholder of,,16-OCT-2008,,Panama Papers
12081128,10064900,officer_of,shareholder of,,16-OCT-2008,,Panama Papers
12081342,10064900,officer_of,shareholder of,,16-OCT-2008,,Panama Papers
12081343,10064900,officer_of,shareholder of,,16-OCT-2008,,Panama Papers
12201314,10063672,officer_of,shareholder of,,16-OCT-2008,,Panama Papers
12081379,10061670,officer_of,shareholder of,,15-OCT-2008,,Panama Papers
12081289,10061670,officer_of,shareholder of,,15-OCT-2008,,Panama Papers
12081290,10061670,officer_of,shareholder of,,15-OCT-2008,,Panama Papers
12081947,10061670,officer_of,shareholder of,,15-OCT-2008,,Panama Papers
12081500,10065169,officer_of,shareholder of,,15-OCT-2008,,Panama Papers
12081501,10065169,officer_of,shareholder of,,15-OCT-2008,,Panama Papers
12081162,10062070,officer_of,shareholder of,,20-OCT-2008,,Panama Papers
